VOLVO  TD 162 - 163  (12V);OZ1262;EX;;48,20;35,90;11,15;45°
VOLVO  FH 12  (24V);OZ1263;IN;;43,10;32,10;7,50;30°
VOLVO  FH 12  (24V);OZ1264;EX;;43,10;33,10;8,10;45°
VOLVO  FH 13 - D13 (24V);OZ1265;IN;;45,10;34,00;7,50;25°
VOLVO  FH 13 - D13 (24V);OZ1266;EX;;43,10;33,10;8,10;40°
VOLVO  D 42  (12V);OZ1267;IN;;45,60;37,00;6,60;45°
VOLVO  D 42  (12V);OZ1268;EX;;43,40;32,70;9,50;45°
VOLVO  FH 16  (D 16-C)  (24V);OZ1269;IN;;52,10;42,00;7,80;25°
VOLVO  FH 16  (D 16-C)  (24V);OZ1270;EX;;49,10;39,50;8,00;45°
VOLVO  FM 9  ( D 9 );OZ1271;IN;;40,05;31,00;7,40;30°
VOLVO  FM 9  ( D 9 );OZ1272;EX;;41,05;31,00;7,40;30°
VOLVO  TAD 735  /  KHD 2013 (24V);OZ1273;IN;;39,35;31,20;7,50;45°
VOLVO  TAD 735  /  KHD 2013 (24V);OZ1274;EX;;36,85;28,40;7,50;0°
